nombre,clase,fecha,enlace
Extraviado,1-facil,01-2025,https://gestion-maquinas.dockerlabs.es/dl/extraviado.zip
Patriaquerida,1-facil,01-2025,https://gestion-maquinas.dockerlabs.es/dl/patriaquerida.zip
ForbiddenHack,1-facil,01-2025,https://gestion-maquinas.dockerlabs.es/dl/forbiddenhack.zip
cineHack,2-medio,01-2025,https://gestion-maquinas.dockerlabs.es/dl/cinehack.zip
Seeker,2-medio,01-2025,https://gestion-maquinas.dockerlabs.es/dl/seeker.zip
LogisticCloud,2-medio,01-2025,https://gestion-maquinas.dockerlabs.es/dl/logisticcloud.zip
Express,2-medio,01-2025,https://gestion-maquinas.dockerlabs.es/dl/express.zip
Raas,3-dificil,01-2025,https://gestion-maquinas.dockerlabs.es/dl/raas.zip
Spain,3-dificil,01-2025,https://gestion-maquinas.dockerlabs.es/dl/spain.tar
Insanity,3-dificil,01-2025,https://gestion-maquinas.dockerlabs.es/dl/insanity.zip
Lifeordead,3-dificil,01-2025,https://gestion-maquinas.dockerlabs.es/dl/lifeordead.zip
Wargames,1-facil,01-2026,https://gestion-maquinas.dockerlabs.es/dl/wargames.zip
Rolarola,2-medio,01-2026,https://gestion-maquinas.dockerlabs.es/dl/rolarola.zip
Tproot,0-muy-facil,02-2025,https://gestion-maquinas.dockerlabs.es/dl/tproot.zip
Internship,1-facil,02-2025,https://gestion-maquinas.dockerlabs.es/dl/internship.zip
ApiBase,1-facil,02-2025,https://gestion-maquinas.dockerlabs.es/dl/apibase.zip
Walking Dead,1-facil,02-2025,https://gestion-maquinas.dockerlabs.es/dl/walking_dead.zip
Gitea,2-medio,02-2025,https://gestion-maquinas.dockerlabs.es/dl/gitea.zip
Unrecover,2-medio,02-2025,https://gestion-maquinas.dockerlabs.es/dl/unrecover.zip
ApiRoot,2-medio,02-2025,https://gestion-maquinas.dockerlabs.es/dl/apiroot.zip
Canario,3-dificil,02-2025,https://gestion-maquinas.dockerlabs.es/dl/canario.zip
Smashing,3-dificil,02-2025,https://gestion-maquinas.dockerlabs.es/dl/smashing.zip
Internal,1-facil,02-2026,https://gestion-maquinas.dockerlabs.es/dl/internal.zip
Profetas,2-medio,02-2026,https://gestion-maquinas.dockerlabs.es/dl/profetas.zip
Talent,2-medio,02-2026,https://gestion-maquinas.dockerlabs.es/dl/talent.zip
RootedPingu,3-dificil,02-2026,https://gestion-maquinas.dockerlabs.es/dl/rootedpingu.zip
StackInferno,2-medio,03-2025,https://gestion-maquinas.dockerlabs.es/dl/stackinferno.zip
MachuPicchu,2-medio,03-2025,https://gestion-maquinas.dockerlabs.es/dl/machupichhu.zip
secureLAB,3-dificil,03-2025,https://gestion-maquinas.dockerlabs.es/dl/secureLAB.zip
CuentaAtrás,2-medio,03-2026,https://gestion-maquinas.dockerlabs.es/dl/cuentaatras.zip
Flasky,2-medio,03-2026,https://gestion-maquinas.dockerlabs.es/dl/flasky.zip
BigWear,2-medio,03-2026,https://gestion-maquinas.dockerlabs.es/dl/bigwear.zip
